Membership No  Date Joined  Active  
    59242      2016-4-8     no    
    20087      2020-1-12    no    
    91323      2016-11-18   no    
    15381      2015-8-14    no    
    27328      2015-2-11    no    
    37052      2020-3-15    no    
    58353      2015-4-18    no    
    77541      2019-5-1     no    
    88213      2018-5-21    no    
    40452      2018-9-19    no    
    33700      2015-2-18    no    
    44039      2019-6-16    no    
    29835      2018-5-22    no    
    75620      2015-11-10   no    
    43326      2018-4-6     no    
    77764      2018-1-1     no    
    89843      2015-1-17    no    
    52015      2019-7-18    no    
